resonance_smis,H298_kcal
O=C1CC[C](O)CO1,-87.0122898940946
CC1C([CH]O)C2C(C)C12,22.522895468186057
[CH2]OC1Cn2cccc21,76.01926592423999
C[C]1CC(C)CC2CC12,30.656058245706166
C[CH]OCCCC#N,11.57756835012862
OCC12O[CH]C3C1OC32,4.033411558080834
C#CC1(CC#CC)C[N]1,175.33403562398823
CC12N[CH]C1(N)C2C#N,125.621995716213
CC1C([CH]O)C1OC=O,-66.99741977334422
CC12[CH]C3C(C=C1)N32,124.80896009673278
CC(O)(C=O)C1[CH]CO1,-50.93652808664399
N#CC1[CH]C2CC(C2)O1,62.4878048402998
[CH2]OCC1OC2CC2O1,-31.52329533999657
C[C]1CN2CC12C(C)O,39.97988999107351
CC(C)([CH]CO)CC=O,-56.60196305245739
C#CC(C)([C]=O)CC#N,83.08074194491554
CC(O)C[CH]C(O)C#N,-32.40424947118981
[CH]1OC2C=C3COC3C12,58.887317454201245
CC(C)[CH]COCC=O,-44.06941522847526
COC1(C#N)CO[C]1C,13.396224005025806
CO[CH]C1COCCO1,-69.07210244357132
C[C]1CC2(CCCO2)C1,6.855649757445256
CC1=C(C)C([CH]O)CC1,-10.702899871622844
[CH2]C1C(O)C1(C#N)NC,53.3099789782511
CC(C)C(O)[C]1COC1,-32.900707205852484
OC1CCCC12[CH]OC2,-22.684957228264214
[CH]1CC2COC=NC2C1,18.23672267555169
C#CC([C]=O)NC1CC1,93.89626556038051
CCOC[C](CC)CO,-66.2034241552913
C[CH]CC1(C)OCC1=O,-26.370273399946925
CCC([O])(C=O)C(C)=O,-70.63037023818
CC1CC2O[CH]CC12,10.542748270811746
C#CC1COC1(C)[CH]C,60.05479269673055
O[CH]C1CC2(CCC2)O1,-14.122526647212696
N=C1O[CH]C(C2CC2)O1,0.4867791716959716
C#CCCO[C]=NCC,75.23649295862178
CO[C](CO)CN1CC1,-11.636373803964382
CO[C]1C2COC12C=O,9.117444578943552
O=CC1[CH]OC12CC2,25.414773754029696
C[CH]C1OC1C(C)C,-4.009366700717498
COC[C](O)CCO,-97.25164662026692
[CH]1CCC23CC12N=CO3,57.846321880077966
[CH2]n1c(N)ccc1OC,38.11966582983256
C[C]1C(C=O)NC1C=O,9.469012003663998
C#CC12CCC[C]1OC2,80.30941143897108
O=C1C2CC([CH]O2)C1O,-54.04586219174445
COCC1NC1[CH]CO,-10.619400058140656
[CH2]N1C2COCC(=O)C21,18.41675980055572
O=CCC[C](O)CC=O,-79.69290449866912
O=[C]C1OC2CCOC12,-40.49914882354828
[CH2]OCC(C)(O)COC,-90.298047163531
C[CH]OC1CCC1(C)O,-43.784990068865774
O=C1CC2(C[CH]O1)CN2,-6.922104651613676
CC1C([O])CC2CCC21,11.156116568905391
[CH]1OC2C1C=CC21CN1,85.8030758099543
CCCCOC[CH]OC,-54.959887736939365
C[CH]C1(O)C=CCOC1,-30.14209769530976
[CH2]OC1C2C(O)C1C2O,-21.42150800440972
O=C1OCC2C[N]C1C2,-26.445641843616183
CCC(C)([O])C(=O)OC,-96.75924922584706
CCC(C)([C]=O)C1CO1,-25.38254059981505
[CH2]Oc1occc1C,-4.201472204714008
[CH]1OC=NC12CCOC2,-7.863432546169692
CN1C2[CH]OC(CO)C21,-2.7670178963443206
CCC1C2(O)[CH]CC12C,24.36004040741581
C[CH]n1cccc1C#N,89.01978516737597
[CH]1C2OCC23C=CCN13,88.84854142449403
C#CCC12[CH]CCC1N2,119.8973509249343
COC1[CH]n2cccc21,76.91639542662064
CC1[CH]C2(CC2O)C1=O,3.9049430700291823
[CH2]ON=CCCC,35.083424030640074
CO[C]1CC(C)C12CN2,46.31066381453248
C[CH]C(C)C(=O)OCC,-74.36384003547039
CC(O)C([O])(C=O)C=O,-95.0994501946783
C[CH]CC1(O)CC1O,-32.950671922164645
CC1C(=O)C(O)C1[CH]O,-66.81837633415316
[CH2]OCC(C)(C)N1CC1,24.204812145679536
CC12C=CC(O)[CH]C1C2,25.11048609547448
OCCC12[CH]OC1CO2,-33.45239182735098
O=COC1O[CH]CC1O,-119.4563375246785
C[C](O)C1(CCO)CC1,-47.26980795042349
OCC1CC12O[CH]C2O,-34.96472411741086
