resonance_smis,H298_kcal,weights
COC12CC[CH]C1C2C,12.889424302170655,1.0
CC(C)O[C]1CC2OC12,3.737244571605915,1.0
CC1CC2C3C[C]1OC32,29.727274213850126,1.0
CC(=O)C1N2[CH]CC12C,58.10220146540292,1.0
CC12OC1COC2=[N],10.790226161036053,1.0
O=C1CC[C](O)CO1,-87.0122898940946,1.0
CC1C([CH]O)C2C(C)C12,22.522895468186057,1.0
[CH2]OC1Cn2cccc21,76.01926592423999,1.0
C[C]1CC(C)CC2CC12,30.656058245706166,1.0
C[CH]OCCCC#N,11.577568350128619,1.0
OCC12O[CH]C3C1OC32,4.033411558080834,1.0
C#CC1(CC#CC)C[N]1,175.33403562398823,1.0
CC12N[CH]C1(N)C2C#N,125.621995716213,1.0
CC1C([CH]O)C1OC=O,-66.99741977334422,1.0
CC12[CH]C3C(C=C1)N32,124.80896009673278,1.0
CC(O)(C=O)C1[CH]CO1,-50.93652808664399,1.0
N#CC1[CH]C2CC(C2)O1,62.487804840299795,1.0
[CH2]OCC1OC2CC2O1,-31.523295339996572,1.0
C[C]1CN2CC12C(C)O,39.97988999107351,1.0
CC(C)([CH]CO)CC=O,-56.60196305245739,1.0
C#CC(C)([C]=O)CC#N,83.08074194491554,1.0
CC(O)C[CH]C(O)C#N,-32.40424947118981,1.0
[CH]1OC2C=C3COC3C12,58.887317454201245,1.0
CC(C)[CH]COCC=O,-44.06941522847526,1.0
COC1(C#N)CO[C]1C,13.396224005025806,1.0
CO[CH]C1COCCO1,-69.07210244357132,1.0
C[C]1CC2(CCCO2)C1,6.8556497574452555,1.0
CC1=C(C)C([CH]O)CC1,-10.702899871622844,1.0
[CH2]C1C(O)C1(C#N)NC,53.3099789782511,1.0
CC(C)C(O)[C]1COC1,-32.900707205852484,1.0
OC1CCCC12[CH]OC2,-22.684957228264214,1.0
[CH]1CC2COC=NC2C1,18.23672267555169,1.0
C#CC([C]=O)NC1CC1,93.89626556038051,1.0
CCOC[C](CC)CO,-66.2034241552913,1.0
C[CH]CC1(C)OCC1=O,-26.370273399946925,1.0
CCC([O])(C=O)C(C)=O,-70.63037023818,1.0
CC1CC2O[CH]CC12,10.542748270811746,1.0
C#CC1COC1(C)[CH]C,60.05479269673055,1.0
O[CH]C1CC2(CCC2)O1,-14.122526647212696,1.0
N=C1O[CH]C(C2CC2)O1,0.4867791716959716,1.0
C#CCCO[C]=NCC,75.23649295862178,1.0
CO[C](CO)CN1CC1,-11.636373803964382,1.0
CO[C]1C2COC12C=O,9.117444578943553,1.0
O=CC1[CH]OC12CC2,25.414773754029696,1.0
C[CH]C1OC1C(C)C,-4.009366700717498,1.0
COC[C](O)CCO,-97.25164662026692,1.0
[CH]1CCC23CC12N=CO3,57.846321880077966,1.0
