resonance_smis,H298_kcal,weights
N#CCOC(=N)NC=O,-23.52403430072934,0.3333333333333333
N#CCOC(=N)[NH+]=C[O-],-23.52403430072934,0.3333333333333333
[NH-]C(C=O)=[NH+]C(=O)CO,-97.52313171205,0.3333333333333333
N=C(C=O)NC(=O)CO,-97.52313171205,0.3333333333333333
N=C(C=O)[NH+]=C([O-])CO,-97.52313171205,0.3333333333333333
CNC(=O)C(N)=O,-92.65760641847456,0.3333333333333333
C[NH+]=C([O-])C(N)=O,-92.65760641847456,0.3333333333333333
CNC(=O)C(=[NH2+])[O-],-92.65760641847456,0.3333333333333333
C=CCC(O)C(=N)N,-23.05329650662425,0.5
C=CCC(O)C([NH-])=[NH2+],-23.05329650662425,0.5
C=CC([NH-])=[NH+]C(=N)O,-1.0113863986830796,0.3333333333333333
C=CC(=N)NC(=N)O,-1.0113863986830796,0.3333333333333333
C=CC(=N)[NH+]=C([NH-])O,-1.0113863986830796,0.3333333333333333
O=C1NCC2(CCNCC2)N1,-37.52998938596067,0.3333333333333333
[O-]C1=[NH+]C2(CCNCC2)CN1,-37.52998938596067,0.3333333333333333
[O-]C1=[NH+]CC2(CCNCC2)N1,-37.52998938596067,0.3333333333333333
[NH2+]=C([O-])OC1CCCC1,-107.49678490210913,0.5
NC(=O)OC1CCCC1,-107.49678490210913,0.5
O=CNC1CCCC1,-51.43775450514526,0.5
[O-]C=[NH+]C1CCCC1,-51.43775450514526,0.5
NCCNC(=O)N1CCOCC1,-79.4287124503361,0.3333333333333333
NCCNC([O-])=[N+]1CCOCC1,-79.4287124503361,0.3333333333333333
NCC[NH+]=C([O-])N1CCOCC1,-79.4287124503361,0.3333333333333333
C=C(NC=O)C(N)=O,-68.41646264721679,0.3333333333333333
C=C(NC=O)C(=[NH2+])[O-],-68.41646264721679,0.3333333333333333
C=C([NH+]=C[O-])C(N)=O,-68.41646264721679,0.3333333333333333
O=C1CCC2=C(CCCC2=O)N1,-76.97334531874459,0.5
O=C1CCCC2=C1CCC([O-])=[NH+]2,-76.97334531874459,0.5
C#CC(N)(CO)C(=[NH2+])[O-],-34.822069235669865,0.5
C#CC(N)(CO)C(N)=O,-34.822069235669865,0.5
CN=CNC(=O)CC#N,1.8954238635555056,0.3333333333333333
C[N-]C=[NH+]C(=O)CC#N,1.8954238635555056,0.3333333333333333
CN=C[NH+]=C([O-])CC#N,1.8954238635555056,0.3333333333333333
C1=[NH+]CCC2CC2CC[N-]1,38.25003027705598,0.5
C1=NCCC2CC2CCN1,38.25003027705598,0.5
CC(O)C(O)C(C=O)[NH+]=C(N)[O-],-181.7969357293225,0.3333333333333333
CC(O)C(O)C(C=O)NC(N)=O,-181.7969357293225,0.3333333333333333
CC(O)C(O)C(C=O)NC(=[NH2+])[O-],-181.7969357293225,0.3333333333333333
O=C1CCCCN1Cc1ccccc1,-30.24408345927499,0.5
[O-]C1=[N+](Cc2ccccc2)CCCC1,-30.24408345927499,0.5
C=CO[N+](C)=C[O-],-22.977087838696335,0.5
C=CON(C)C=O,-22.977087838696335,0.5
[O-]C1=[NH+]C2CCCCC12,-33.540558858925046,0.5
O=C1NC2CCCCC12,-33.540558858925046,0.5
CNC(=N)C(=O)C(=N)N,-2.433011243298565,0.3333333333333333
C[NH+]=C([NH-])C(=O)C(=N)N,-2.433011243298565,0.3333333333333333
CNC(=N)C(=O)C([NH-])=[NH2+],-2.433011243298565,0.3333333333333333
O=CC1=[NH+]CCCC[N-]1,-13.749648521808778,0.5
O=CC1=NCCCCN1,-13.749648521808778,0.5
COC(=O)[NH+]=C=[N-],-50.02748794471082,0.3333333333333333
COC([O-])=[NH+]C#N,-50.02748794471082,0.3333333333333333
COC(=O)NC#N,-50.02748794471082,0.3333333333333333
COC([O-])=[N+]1CCC(N)CC1,-97.85140295251492,0.5
COC(=O)N1CCC(N)CC1,-97.85140295251492,0.5
CC(OC(N)=O)C(N)=O,-148.75958200310484,0.3333333333333333
CC(OC(=[NH2+])[O-])C(N)=O,-148.75958200310484,0.3333333333333333
CC(OC(N)=O)C(=[NH2+])[O-],-148.75958200310484,0.3333333333333333
N=C1CCCCN1C=O,-20.148351630641585,0.3333333333333333
N=C1CCCC[N+]1=C[O-],-20.148351630641585,0.3333333333333333
[NH-]C1=[N+](C=O)CCCC1,-20.148351630641585,0.3333333333333333
NC(=O)C1(c2ccccc2)CCNCC1,-26.23306346651484,0.5
[NH2+]=C([O-])C1(c2ccccc2)CCNCC1,-26.23306346651484,0.5
N=C(N)CN,10.75635370318757,0.5
[NH-]C(=[NH2+])CN,10.75635370318757,0.5
C#CC(C)[N-]C=[NH+]C=N,86.60609201936684,0.3333333333333333
C#CC(C)N=C[NH+]=C[NH-],86.60609201936684,0.3333333333333333
C#CC(C)N=CNC=N,86.60609201936684,0.3333333333333333
C=C[N-]C(=[NH2+])C=C,49.39824504177994,0.5
C=CN=C(N)C=C,49.39824504177994,0.5
N=CNC(=O)CNC=O,-61.97591581384006,0.25
N=CNC(=O)C[NH+]=C[O-],-61.97591581384006,0.25
[NH-]C=[NH+]C(=O)CNC=O,-61.97591581384006,0.25
N=C[NH+]=C([O-])CNC=O,-61.97591581384006,0.25
